paper_anchor,paper_component,code,checkpoint_or_config,processed_human_data,artifact_scope
"sec:method-actions; tab:action-model","Semantic-to-physical action mapping and duration-aware action realization","methods/on_device/actreal/planner.py; methods/on_device/actreal/duration_law.py; methods/on_device/actreal/touch_track.py; methods/generation/pipeline/conditional_touch_request_generator.py","methods/generation/imu/configs/duration_policy.json","data/on_device","Implementation and processed phone records are included; numerical paper results are not part of this artifact"
"sec:method-imu","Five-shot conditional IMU generation for Tap, Scroll, Swipe, and Pinch","methods/generation/imu/diffusion_model; methods/generation/imu/android_imu_layer; methods/generation/imu/scripts","checkpoints/generator/five_shot; methods/generation/imu/configs/release_sampling.json","data/on_device/*/*/fewshot","Inference code, checkpoints, configurations, and processed reference records are included; licensed HMOG training signals are excluded"
"sec:method-imu; Keystroke paragraph","Non-diffusion Keystroke touch and IMU adapter","methods/generation/pipeline/keystroke_imu_pulse.py; methods/on_device/actreal/keyboard.py; methods/on_device/actreal/rhythm.py; methods/on_device/actreal/typing_bundle.py","methods/on_device/config/keymap.json","data/on_device/*/*/fewshot/keystroke.npz; data/on_device/*/*/test/keystroke.npz","Implementation and redacted processed Keystroke records are included"
"sec:method-adv","Feature, waveform, and set critics with structural losses and protected gradient updates","methods/generation/imu/diffusion_model/critics.py; methods/generation/imu/diffusion_model/train.py; methods/evaluation/ablation","checkpoints/generator/five_shot; checkpoints/generator/component_ablation","none","Training and ablation code plus frozen inference checkpoints and effective configurations are included"
"sec:method-trajectory","Touch reference selection, geometry adaptation, and Android-observed trajectory construction","methods/generation/pipeline/android_touch_observation.py; methods/generation/pipeline/pinch_endpoint_control.py; methods/on_device/actreal/mapping.py; methods/on_device/actreal/touch_track.py","methods/generation/imu/configs/duration_policy.json","data/on_device","Implementation and processed touch records are included"
"sec:method-injection","Persistent uinput touch delivery and application-process native IMU instrumentation","methods/on_device/actreal/session.py; methods/on_device/actreal/inject; methods/hooks/frida; methods/on_device/actreal/agent_shim.py","methods/on_device/config/keymap.json","none","Executor and hook implementation are included; no agent execution logs or receipts are included"
"sec:eval-setup","Six attack-aware detectors and frozen development-selected operating thresholds","methods/evaluation/detection/core/event_detectors.py; methods/evaluation/detection/core/formal_event_pad.py; methods/evaluation/detection/core/event_pad.py; methods/shared/event_data.py; methods/evaluation/detection/scripts","checkpoints/detectors; methods/evaluation/event_level/common/release_cell_map.json","none","All 90 detector models and thresholds are included; processed HMOG signal shards are excluded under the dataset licence"
"sec:eval-main","Event-level and session-level scoring implementations","methods/evaluation/event_level/main; methods/evaluation/event_level/metrics; methods/evaluation/session_level","checkpoints/detectors; methods/evaluation/event_level/common/release_cell_map.json","none","Scoring code and frozen detectors are included; paper tables and per-event score ledgers are excluded"
"sec:eval-device; participant protocol","Processed records from the 20-participant controlled phone study","methods/evaluation/on_device/export_processed_phone_data.py; methods/evaluation/on_device/partition_task_actions.py","none","data/on_device","Processed records for 20 participants and both phones are included; raw sessions are excluded; these records support the genuine-data collection protocol and are not the source of the 18-run agent FAR"
"sec:eval-device; tab:device-results","Frozen-detector FAR scoring for injected real-device events","methods/evaluation/on_device/partition_task_actions.py; methods/evaluation/on_device/score_matrix_far.py","checkpoints/detectors; methods/evaluation/event_level/common/release_cell_map.json","none","Scoring code and frozen detectors are included; the 18 agent executions, their receipts, and numerical paper table are excluded"
"sec:eval-device; tab:device-latency","First-event injection latency instrumentation","methods/debug/latency_app; methods/hooks/frida/touch_probe.js","none","none","Instrumentation code is included; latency measurements and agent execution records are excluded"
"sec:eval-ablation; fig:ablation-reference; tab:ablation-components","Reference-count and training-component ablations","methods/evaluation/ablation; methods/evaluation/event_level/metrics/plot_reference_count_ablation.py","checkpoints/generator/five_shot; checkpoints/generator/zero_shot; checkpoints/generator/component_ablation","none","Ablation code, checkpoints, and configurations are included; numerical aggregates remain in the paper"
"app:device-agent-task","Local study application, controlled task protocol, and processed-data export","methods/app/source; methods/app/apk/SensorStudyCollector.apk; methods/evaluation/on_device/export_processed_phone_data.py","methods/app/apk/SensorStudyCollector.apk","data/on_device","Application source, one final APK, and processed records for 20 participants, 40 participant-device records, and 120 task runs are included"
"app:generator-detector-config","Generator and detector implementation parameters","methods/generation/imu; methods/evaluation/detection","checkpoints/generator; checkpoints/detectors","none","Frozen models, thresholds, and effective configurations are included"
"app:offline-generation-cost","Offline IMU cache construction and resource-accounting implementation","methods/generation/imu/scripts/generate_user_cache.py; methods/generation/imu/android_imu_layer/diffusion_generator.py","methods/generation/imu/configs/release_sampling.json; checkpoints/generator/five_shot","none","Cache-generation code, runtime configuration, and checkpoints are included; measured timing and storage aggregates remain in the paper"
"app:action-boundary","Action segmentation and canonical event-boundary processing","methods/generation/pipeline/android_touch_observation.py; methods/evaluation/on_device/partition_task_actions.py; methods/shared/event_data.py","methods/generation/imu/configs/duration_policy.json","data/on_device","Boundary-processing code and processed event-aligned records are included"
"app:target-user-structure; tab:genuine-user-structure; tab:generated-target-structure","Within-user, between-user, target-user, and other-user feature-distance analysis","methods/evaluation/identity/measure.py; methods/evaluation/detection/core/event_detectors.py","none","none","Analysis code is included; it requires separately licensed HMOG-derived event shards and writes the two tables to a caller-selected output directory; numerical tables are not included"
