participant_id,device,split,action,samples,touch_rows,imu_frames,relative_path,bytes
P00,pixel10,fewshot,keystroke,5,62,1280,P00/pixel10/fewshot/keystroke.npz,33767
P00,pixel10,fewshot,pinch,5,417,580,P00/pixel10/fewshot/pinch.npz,22435
P00,pixel10,fewshot,scroll,5,979,895,P00/pixel10/fewshot/scroll.npz,37050
P00,pixel10,fewshot,swipe,5,167,835,P00/pixel10/fewshot/swipe.npz,26333
P00,pixel10,fewshot,tap,5,131,175,P00/pixel10/fewshot/tap.npz,10415
P00,pixel10,test,keystroke,15,233,3840,P00/pixel10/test/keystroke.npz,92031
P00,pixel10,test,pinch,2,1192,232,P00/pixel10/test/pinch.npz,22427
P00,pixel10,test,scroll,27,3161,4833,P00/pixel10/test/scroll.npz,149362
P00,pixel10,test,swipe,1,324,167,P00/pixel10/test/swipe.npz,13426
P00,pixel10,test,tap,38,1046,1330,P00/pixel10/test/tap.npz,42418
P00,s21,fewshot,keystroke,5,68,1280,P00/s21/fewshot/keystroke.npz,33967
P00,s21,fewshot,pinch,5,331,580,P00/s21/fewshot/pinch.npz,21443
P00,s21,fewshot,scroll,5,374,895,P00/s21/fewshot/scroll.npz,29345
P00,s21,fewshot,swipe,5,132,835,P00/s21/fewshot/swipe.npz,25845
P00,s21,fewshot,tap,5,41,175,P00/s21/fewshot/tap.npz,9828
P00,s21,test,keystroke,15,207,3840,P00/s21/test/keystroke.npz,92430
P00,s21,test,pinch,2,698,232,P00/s21/test/pinch.npz,14895
P00,s21,test,scroll,35,2224,6265,P00/s21/test/scroll.npz,166034
P00,s21,test,swipe,1,119,167,P00/s21/test/swipe.npz,10220
P00,s21,test,tap,41,256,1435,P00/s21/test/tap.npz,40922
P01,pixel10,fewshot,keystroke,5,96,1280,P01/pixel10/fewshot/keystroke.npz,34176
P01,pixel10,fewshot,pinch,5,916,580,P01/pixel10/fewshot/pinch.npz,26931
P01,pixel10,fewshot,scroll,5,871,895,P01/pixel10/fewshot/scroll.npz,35622
P01,pixel10,fewshot,swipe,5,420,835,P01/pixel10/fewshot/swipe.npz,29415
P01,pixel10,fewshot,tap,5,117,175,P01/pixel10/fewshot/tap.npz,10351
P01,pixel10,test,keystroke,15,223,3840,P01/pixel10/test/keystroke.npz,91444
P01,pixel10,test,pinch,2,1742,232,P01/pixel10/test/pinch.npz,26678
P01,pixel10,test,scroll,28,2831,5012,P01/pixel10/test/scroll.npz,146518
P01,pixel10,test,swipe,3,101,501,P01/pixel10/test/swipe.npz,17896
P01,pixel10,test,tap,41,976,1435,P01/pixel10/test/tap.npz,45076
